"model_id","horizon","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"MicroHub-Copycat",0,5.90063595642316,4.64990773731767,231.959130434783,0.660320014351281,5.078125,3.58466428408225,325,0.883442683193044,0,0,3
"MicroHub-Ensemble",0,6.19306530995963,4.77350213611506,243.454782608696,0.677871299193486,5.4375,3.74971796566856,348,0.92412026295386,0,0,3
"MicroHub-INFLAenza",0,9.82151191727037,6.70174366672352,386.092173913043,0.951695329065227,7.9375,4.74279982570949,508,1.1688658886351,0,0,3
"MicroHub-Opt_Baseline",0,0.884278051208318,0.920109888707286,34.7617391304348,0.130662157023019,1,1,64,0.246450605462828,0,1,3
"MicroHub-Regular_Baseline",0,1,1,39.3108695652174,0.142007121786935,1,1,64,0.246450605462828,1,1,3
"MicroHub-Seasonal_Baseline",0,10.1658795553835,6.58100952079833,399.629565217391,0.934550220500988,8.84375,5.05018078069936,566,1.24462011110009,0,0,3
"MicroHub-newGBQR",0,5.21635790521484,3.9648667891862,205.059565217391,0.563039321000938,5.4375,3.74971796566856,348,0.92412026295386,0,1,3
