"model_id","horizon","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"MicroHub-Copycat",0,0.753664580162051,0.700812018532533,80.0069565217391,0.384957332459079,0.87799043062201,0.816201621133579,122.333333333333,0.596026077622072,0,0.333333333333333,5
"MicroHub-Copycat",1,0.88386436568098,0.881219258345587,69.0978260869565,0.37859857524742,1.08333333333333,1.07846648578337,110.5,0.588906740231222,0,0.5,5
"MicroHub-Copycat",2,4.59845489384999,3.24054563644988,65.7339130434783,0.450828209849474,25.25,17.9368441921889,101,0.68339100561458,0,0,5
"MicroHub-Ensemble",0,0.590451681604401,0.566614436551605,62.6807246376812,0.311242353526482,0.822966507177034,0.748519478428141,114.666666666667,0.546601620481503,0.333333333333333,0.666666666666667,5
"MicroHub-Ensemble",1,0.812482272659018,0.821465160559434,63.5173913043478,0.35292639880236,1.07843137254902,1.0631734148835,110,0.580555815422256,0.5,0.5,5
"MicroHub-Ensemble",2,5.90580327270515,3.7505915517905,84.4221739130435,0.521786348617104,32.75,21.5379380306537,131,0.820592127128066,0,0,5
"MicroHub-INFLAenza",0,0.6760998518741,0.656549660496004,71.7728985507246,0.360643937672029,0.813397129186603,0.732114617941135,113.333333333333,0.534622074745699,0.333333333333333,0.666666666666667,5
"MicroHub-INFLAenza",1,0.998901600048941,0.998508346794952,78.0910869565217,0.428989532274807,1.14705882352941,1.10146732247826,117,0.601466562848926,0.5,0.5,5
"MicroHub-INFLAenza",2,9.04334205243628,5.45118924935604,129.272608695652,0.75837533753427,46.25,26.9878121197092,185,1.02823149190631,0,0,5
"MicroHub-Opt_Baseline",0,1.17997911220025,1.14135648162259,125.263333333333,0.626949217381203,1,1,139.333333333333,0.730243682675224,0.333333333333333,0.333333333333333,5
"MicroHub-Opt_Baseline",1,1.16732941431646,1.09310707502855,91.2582608695652,0.469632020952027,1,1,102,0.54605937967878,0.5,0.5,5
"MicroHub-Opt_Baseline",2,0.488959182432022,0.472353953912883,6.9895652173913,0.0657143923734892,1,1,4,0.0380998462322699,1,1,5
"MicroHub-Regular_Baseline",0,1,1,106.157246376812,0.549301841690959,1,1,139.333333333333,0.730243682675224,0.333333333333333,0.333333333333333,5
"MicroHub-Regular_Baseline",1,1,1,78.1769565217391,0.42963039182576,1,1,102,0.54605937967878,0.5,0.5,5
"MicroHub-Regular_Baseline",2,1,1,14.2947826086957,0.139121080344781,1,1,4,0.0380998462322699,1,1,5
"MicroHub-Seasonal_Baseline",0,0.674994027181444,0.602532410504264,71.6555072463768,0.330972162768485,0.681818181818182,0.623950305727616,95,0.455635769060866,0.666666666666667,0.666666666666667,5
"MicroHub-Seasonal_Baseline",1,1.10300766933434,0.975790743699044,86.2297826086956,0.41922935955537,1.12254901960784,1.07546701831576,114.5,0.58726885288649,0.5,0.5,5
"MicroHub-Seasonal_Baseline",2,9.75193138268751,5.28213577822668,139.401739130435,0.734856435994717,53.5,29.5059664754103,214,1.12417278564764,0,0,5
"MicroHub-newGBQR",0,0.55395400588408,0.535522970827541,58.806231884058,0.294163754143382,0.822966507177034,0.748519478428141,114.666666666667,0.546601620481503,0.333333333333333,1,5
"MicroHub-newGBQR",1,0.780990172796387,0.769227764879099,61.0554347826087,0.33048362602826,1.07843137254902,1.0631734148835,110,0.580555815422256,0.5,1,5
"MicroHub-newGBQR",2,5.48974998479226,3.41154642253087,78.4747826086957,0.474618023948868,32.75,21.5379380306537,131,0.820592127128066,0,1,5
