"model_id","target_end_date","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"MicroHub-Copycat",2026-05-30,0.438575132892519,0.368376394691675,147.075217391304,0.245916304358639,0.565819861431871,0.453706188939721,245,0.411682744719035,0,1,3
"MicroHub-Copycat",2026-06-06,0.301449334765826,0.24588686540949,83.1378260869565,0.142360067815168,0.418604651162791,0.323389935449931,162,0.27226851562421,0,1,5
"MicroHub-Copycat",2026-06-13,5.8955334896673,4.62916294559954,233.189710144928,0.662059013910493,5.13020833333333,3.60853587234385,328.333333333333,0.889325850573475,0,0,5
"MicroHub-Ensemble",2026-05-30,0.423924542979385,0.354919046459074,142.162173913043,0.236932608900631,0.565819861431871,0.453706188939721,245,0.411682744719035,0,1,3
"MicroHub-Ensemble",2026-06-06,0.248345683722316,0.204762671457529,68.4921739130435,0.118550568962533,0.392764857881137,0.300501533553698,152,0.252998307970321,0.5,1,5
"MicroHub-Ensemble",2026-06-13,6.10478894914261,4.71599814883586,241.46652173913,0.674478112072074,5.25520833333333,3.66601516100698,336.333333333333,0.903491656066076,0,0,5
"MicroHub-INFLAenza",2026-05-30,0.250082976792428,0.199557789488267,83.8647826086957,0.133218400538418,0.367205542725173,0.272423260172541,159,0.247190711097044,0,1,3
"MicroHub-INFLAenza",2026-06-06,0.144720652094232,0.103154920051724,39.9130434782609,0.0597231632912787,0.0516795865633075,0.0354922716067161,20,0.029881660024599,1,1,5
"MicroHub-INFLAenza",2026-06-13,9.84917924666569,6.69464211834629,389.570724637681,0.957462118193371,7.97395833333333,4.755565808724,510.333333333333,1.17201207287835,0,0,5
"MicroHub-Opt_Baseline",2026-05-30,1.14825489433424,1.15513857452009,385.064782608696,0.771133583371558,1,1,433,0.907377405807728,0,0,3
"MicroHub-Opt_Baseline",2026-06-06,1.21061269017247,1.19811017285253,333.879347826087,0.693664727366708,1,1,387,0.841920189153084,0,0,5
"MicroHub-Opt_Baseline",2026-06-13,0.87482046020812,0.909550178547842,34.6023188405797,0.130083106036248,1,1,64,0.246450605462828,0,1,5
"MicroHub-Regular_Baseline",2026-05-30,1,1,335.347826086957,0.667568030694438,1,1,433,0.907377405807728,0,0,3
"MicroHub-Regular_Baseline",2026-06-06,1,1,275.793695652174,0.578965727096025,1,1,387,0.841920189153084,0,0,5
"MicroHub-Regular_Baseline",2026-06-13,1,1,39.5536231884058,0.143019163872778,1,1,64,0.246450605462828,1,1,5
"MicroHub-Seasonal_Baseline",2026-05-30,0.195363671723065,0.142315403307194,65.5147826086956,0.0950052135232683,0.1270207852194,0.0868226135551444,55,0.0787808778531138,1,1,3
"MicroHub-Seasonal_Baseline",2026-06-06,0.268060325495349,0.167555391792167,73.929347826087,0.0970088292378114,0.169250645994832,0.109216189796618,65.5,0.0919513151721478,1,1,5
"MicroHub-Seasonal_Baseline",2026-06-13,10.1350395720358,6.55271578788924,400.877536231884,0.937163933079872,8.86979166666667,5.05866916493387,567.666666666667,1.24671207853409,0,0,5
"MicroHub-newGBQR",2026-05-30,0.508483080513419,0.42981072826877,170.518695652174,0.286927901441725,0.598152424942263,0.486259360583409,259,0.441220757155898,0,0,3
"MicroHub-newGBQR",2026-06-06,0.273643421240357,0.237700783654415,75.4691304347826,0.137620607039773,0.423772609819121,0.328182529354802,164,0.276303497191133,0.5,1,5
"MicroHub-newGBQR",2026-06-13,4.90993331379159,3.7817952787524,194.205652173913,0.540869198705187,4.96875,3.5285201736169,318,0.869605933175687,0,1,5
