"model_id","age_group","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"MicroHub-Copycat","Overall",1.09823170206632,0.994172973199428,21.2557971014493,0.0804544523147439,1.40151515151515,1.4049527317431,30.8333333333333,0.120872421549679,0.666666666666667,1,33
"MicroHub-Ensemble","Overall",1.09584302097022,0.989869029675935,21.2095652173913,0.0801061513366336,1.40909090909091,1.41241801713526,31,0.121514683102345,0.5,1,33
"MicroHub-INFLAenza","Overall",1.55330540298697,1.37270796437255,30.0635507246377,0.111087778926702,2.29545454545455,2.20523506015373,50.5,0.189723181274809,0.333333333333333,1,33
"MicroHub-Opt_Baseline","Overall",1.06814105948115,1.07535893078072,20.6734057971014,0.0870245079579085,1,1,22,0.0860330876752808,0.833333333333333,1,33
"MicroHub-Regular_Baseline","Overall",1,1,19.3545652173913,0.0809260103458927,1,1,22,0.0860330876752808,0.666666666666667,1,33
"MicroHub-Seasonal_Baseline","Overall",2.11505730213821,1.80451601205022,40.9360144927536,0.146032281460505,3.12878787878788,2.92364833161315,68.8333333333333,0.251530493245362,0.333333333333333,1,33
"MicroHub-newGBQR","Overall",0.907069822121883,0.851681210791115,17.5559420289855,0.0689231624758842,1.35606060606061,1.36423745785316,29.8333333333333,0.117369560821383,0.333333333333333,1,33
