"model_id","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"MicroHub-Copycat",0.639156716790728,0.617225506964147,5.56260869565217,0.0590385471651805,NA,NA,8,0.0816780310142668,1,1,20
"MicroHub-Ensemble",0.613378628166059,0.587108237432022,5.33826086956522,0.05615778508115,NA,NA,8,0.0816780310142668,1,1,20
"MicroHub-INFLAenza",0.672528350901734,0.594872104888094,5.85304347826087,0.0569004106690717,0,0,0,0,1,1,20
"MicroHub-Opt_Baseline",0.839336563920668,0.831475136062477,7.30478260869565,0.0795318461133378,NA,NA,11,0.114113306767421,1,1,20
"MicroHub-Regular_Baseline",1,1,8.70304347826087,0.0956515025692383,NA,NA,11,0.114113306767421,1,1,20
"MicroHub-Seasonal_Baseline",2.97896787730429,2.07508215466335,25.9260869565217,0.198484726048162,NA,NA,46,0.372239460479844,0,1,20
"MicroHub-newGBQR",0.644751960833292,0.621269158214104,5.61130434782609,0.0594253284831048,NA,NA,10,0.10318423623523,1,1,20
