"model_id","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"MicroHub-Copycat",0.907650556411375,0.892910334486645,73.9917391304348,0.393816226286925,1.10063897763578,1.09886722160039,114.833333333333,0.60821378649054,0,0.333333333333333,37
"MicroHub-Ensemble",0.816770476196402,0.816754149881477,66.5831884057971,0.360227701133545,1.11022364217252,1.09050392121253,115.833333333333,0.603584769902848,0.333333333333333,0.5,37
"MicroHub-INFLAenza",1.0238244870784,1.01964972748069,83.4622463768116,0.449714369183328,1.21246006389776,1.15479945251988,126.5,0.639171806973543,0.333333333333333,0.5,37
"MicroHub-Opt_Baseline",1.15574007290816,1.09051877673658,94.2160144927536,0.480971014403526,1,1,104.333333333333,0.553491608935917,0.5,0.5,37
"MicroHub-Regular_Baseline",1,1,81.5200724637681,0.441047898178196,1,1,104.333333333333,0.553491608935917,0.5,0.5,37
"MicroHub-Seasonal_Baseline",1.07709224277474,0.969747901913849,87.8046376811594,0.427705273901819,1.1629392971246,1.10378601934314,121.333333333333,0.610936299767204,0.5,0.5,37
"MicroHub-newGBQR",0.770780202617476,0.76260671715833,62.8340579710145,0.336346089739256,1.11022364217252,1.09050392121253,115.833333333333,0.603584769902848,0.333333333333333,1,37
