"model_id","reference_date","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"MicroHub-Copycat",2026-06-13,4.59270535224989,3.2078061459981,65.5878260869565,0.44715286042467,25,17.8078669051817,100,0.678476990812151,0,0,9
"MicroHub-Ensemble",2026-06-13,6.15125129391707,3.87139682221514,87.8452173913043,0.539654232239726,37.75,23.6905228773446,151,0.902605278788901,0,0,9
"MicroHub-INFLAenza",2026-06-13,8.86838580040188,5.35458179823287,126.648260869565,0.746403136126144,45.25,26.620717672937,181,1.01424524993157,0,0,9
"MicroHub-Opt_Baseline",2026-06-13,0.489465992814955,0.472839273957841,6.99,0.0659115371217628,1,1,4,0.0380998462322699,1,1,9
"MicroHub-Regular_Baseline",2026-06-13,1,1,14.2808695652174,0.139395225295181,1,1,4,0.0380998462322699,1,1,9
"MicroHub-Seasonal_Baseline",2026-06-13,9.70803141935091,5.25530711255226,138.639130434783,0.732564718949588,53.75,29.5886337093854,215,1.12732239455054,0,0,9
"MicroHub-newGBQR",2026-06-13,5.90224075990988,3.66801382260678,84.2891304347826,0.511303613188109,37.75,23.6905228773446,151,0.902605278788901,0,1,9
