"model_id","reference_date","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"MicroHub-Copycat",2026-05-30,1.30055736023252,1.13140853484475,27.5614492753623,0.102138998632274,1.77611940298507,1.77620644746763,39.6666666666667,0.155472031497298,0.333333333333333,1,7
"MicroHub-Copycat",2026-06-06,0.860779176518201,0.824993232682652,17.57,0.0675207397313934,0.967741935483871,0.968019888082111,30,0.116421474201461,1,1,6
"MicroHub-Copycat",2026-06-13,0.827982501668273,0.808544156750437,9.7104347826087,0.0412682385288555,2,1.98709641379036,6,0.0259754864032606,1,1,6
"MicroHub-Ensemble",2026-05-30,1.32094375106856,1.15320938871706,27.9934782608696,0.104107091779239,1.77611940298507,1.77620644746763,39.6666666666667,0.155472031497298,0.333333333333333,1,7
"MicroHub-Ensemble",2026-06-06,0.846561015613351,0.806194573504508,17.2797826086957,0.0659821824155482,0.983870967741935,0.984040694224483,30.5,0.118348258859456,0.5,1,6
"MicroHub-Ensemble",2026-06-13,0.743308371023949,0.712208862290888,8.71739130434783,0.0363512678509865,2,1.98709641379036,6,0.0259754864032606,1,1,6
"MicroHub-INFLAenza",2026-05-30,1.92928021884083,1.64239065546717,40.8853623188406,0.148268403274365,3.05970149253731,2.86292587514281,68.3333333333333,0.250592999743485,0.333333333333333,1,7
"MicroHub-INFLAenza",2026-06-06,0.974801371759644,0.919488819913589,19.8973913043478,0.0752546358391685,1.04838709677419,1.04510779205188,32.5,0.125692655025072,0.5,1,6
"MicroHub-INFLAenza",2026-06-13,1.52887966189664,1.39521830422338,17.9304347826087,0.0712121920587791,11,10.3407232942804,33,0.135174778368253,0,1,6
"MicroHub-Opt_Baseline",2026-05-30,1.03971961018978,1.04607862742479,22.033768115942,0.0944357587955199,1,1,22.3333333333333,0.0875303834860848,0.666666666666667,1,7
"MicroHub-Opt_Baseline",2026-06-06,1.06948260804737,1.07867107099107,21.83,0.0882827467606487,1,1,31,0.120267647013039,1,1,6
"MicroHub-Opt_Baseline",2026-06-13,1.2175428190109,1.2201030443267,14.2791304347826,0.062274277839594,1,1,3,0.0130720815673522,1,1,6
"MicroHub-Regular_Baseline",2026-05-30,1,1,21.1920289855072,0.0902759661843007,1,1,22.3333333333333,0.0875303834860848,0.666666666666667,1,7
"MicroHub-Regular_Baseline",2026-06-06,1,1,20.4117391304348,0.0818439922371658,1,1,31,0.120267647013039,0.5,1,6
"MicroHub-Regular_Baseline",2026-06-13,1,1,11.7278260869565,0.0510401790481225,1,1,3,0.0130720815673522,1,1,6
"MicroHub-Seasonal_Baseline",2026-05-30,1.99895366729355,1.67564881001355,42.361884057971,0.151270815309547,3.14925373134328,2.93512629519849,70.3333333333333,0.256912730198815,0.333333333333333,1,7
"MicroHub-Seasonal_Baseline",2026-06-06,1.72466824291222,1.50334713790303,35.2034782608696,0.123039931484301,1.90322580645161,1.76600781910464,59,0.212393605010344,0.5,1,6
"MicroHub-Seasonal_Baseline",2026-06-13,4.10335878994587,3.45416852279388,48.1234782608696,0.176301379865788,28,23.9944615736187,84,0.313657558855041,0,1,6
"MicroHub-newGBQR",2026-05-30,1.01734997435459,0.933637754604864,21.5597101449275,0.0842850503630952,1.64179104477612,1.65219968161853,36.6666666666667,0.144617671727657,0.333333333333333,1,7
"MicroHub-newGBQR",2026-06-06,0.812661085905383,0.787487015261656,16.5878260869565,0.0644510811639439,1.01612903225806,1.01602080614237,31.5,0.122194431671034,0,1,6
"MicroHub-newGBQR",2026-06-13,0.637873507822347,0.622679270152385,7.48086956521739,0.031781661438132,2,1.98709641379036,6,0.0259754864032606,1,1,6
