"model_id","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"MicroHub-Copycat",1.00728315586991,1.11632285542067,168.82,0.419468913620075,1.1107934238742,1.08816141453438,259,0.60403288794798,0,0.5,37
"MicroHub-Ensemble",0.997961408137332,1.1077422788905,167.25768115942,0.416244680506986,1.11365260900643,1.08934949995059,259.666666666667,0.604692388142984,0.166666666666667,0.5,37
"MicroHub-INFLAenza",1.32498829376995,1.38610428313316,222.067173913043,0.520841846950181,1.23659756969264,1.14784877914115,288.333333333333,0.637165041630216,0.333333333333333,0.5,37
"MicroHub-Opt_Baseline",1.15019384998126,1.13047147744517,192.771739130435,0.424785392702287,1,1,233.166666666667,0.555094933417063,0,0.5,37
"MicroHub-Regular_Baseline",1,1,167.599347826087,0.375759496084137,1,1,233.166666666667,0.555094933417063,0.5,0.5,37
"MicroHub-Seasonal_Baseline",1.40812609090606,1.37522125346557,236.001014492754,0.516752445206418,1.35025017869907,1.20184239452492,314.833333333333,0.667136623966613,0.5,0.5,37
"MicroHub-newGBQR",0.899042791405141,0.969049234241946,150.678985507246,0.364129451939472,1.10150107219442,1.0816905163975,256.833333333333,0.600440925177538,0.166666666666667,0.833333333333333,37
