"model_id","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"MicroHub-Copycat",1.24002830388272,1.344119776442,101.083333333333,0.44769321439625,1.12160413971539,1.0843937324505,144.5,0.600447514556007,0.333333333333333,0.5,37
"MicroHub-Ensemble",1.22864274704116,1.3362261243849,100.155217391304,0.445064033184348,1.12160413971539,1.0843937324505,144.5,0.600447514556007,0.333333333333333,0.5,37
"MicroHub-INFLAenza",1.6202168304985,1.60584455288549,132.075144927536,0.53486729553602,1.36869340232859,1.21554640998269,176.333333333333,0.673069014381182,0.5,0.5,37
"MicroHub-Opt_Baseline",0.999791987796617,1.00191928288217,81.5,0.333714652652802,1,1,128.833333333333,0.553717249175837,0,0.833333333333333,37
"MicroHub-Regular_Baseline",1,1,81.5169565217391,0.333075386764513,1,1,128.833333333333,0.553717249175837,0,0.833333333333333,37
"MicroHub-Seasonal_Baseline",1.92794155034873,1.80661729832434,157.159927536232,0.601739755374838,1.59508408796895,1.32590254357383,205.5,0.734175109102948,0.5,0.5,37
"MicroHub-newGBQR",1.00710530573349,1.09650220822622,82.0961594202899,0.36521789709309,1.05821474773609,1.04244807654364,136.333333333333,0.577221481352389,0.333333333333333,0.5,37
