"model_id","age_group","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"MicroHub-Copycat","Pediatrics",4.7725447385863,3.7979659244986,159.66652173913,0.770247576485734,3.68333333333333,2.60521918303235,221,1.00801539331588,0,0,22
"MicroHub-Ensemble","Pediatrics",4.77956255604507,3.80114642228183,159.901304347826,0.770892598257452,3.68333333333333,2.60521918303235,221,1.00801539331588,0,0,22
"MicroHub-INFLAenza","Pediatrics",6.89896942051022,4.85181925778765,230.80652173913,0.983974606183731,5.2,3.20559139044855,312,1.24031232661658,0,0,22
"MicroHub-Opt_Baseline","Pediatrics",1.00271615527571,0.998694881875918,33.5460869565217,0.20254060402482,1,1,60,0.386921530395996,0,1,22
"MicroHub-Regular_Baseline","Pediatrics",1,1,33.4552173913043,0.202805288883001,1,1,60,0.386921530395996,0,1,22
"MicroHub-Seasonal_Baseline","Pediatrics",8.15844672306913,5.45664083501283,272.942608695652,1.10663562087556,5.96666666666667,3.46313580199971,358,1.33996180447889,0,0,22
"MicroHub-newGBQR","Pediatrics",3.84298283233914,3.07891000477555,128.567826086957,0.624419232963268,3.53333333333333,2.53749906322613,212,0.981813020921859,0,0,22
